Empirical Data_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
2.35,1.7,13,1.31,8.48,1.27,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.31,1.2,2.5,1.28,3.39,1.38,19.9,2.58,302.64,1.45,25.31,10.4,1.55,1.75,0.75,2.38,0.52,3.36,840.99,2.91,8.1,3.57,3.48,25.31,2.27
2.65,1.52,13,1.31,8.48,1.27,0.4,0.47,0.7,1.03,0.12,1.5,259.4,1.51,1.2,2.5,1.28,3.39,1.38,19.9,2.58,302.64,1.45,25.31,10.4,1.55,1.75,0.75,2.38,0.52,3.36,840.99,2.91,8.1,3.57,3.48,25.31,2.27
2.65,1.7,13,1.31,8.48,1.27,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.51,1.2,2.5,1.28,3.39,1.38,19.9,2.58,305.8,1.45,25.31,10.4,1.55,1.75,0.8,2.38,0.52,3.36,840.99,2.91,8.1,3.57,3.53,25.31,2.27
2.65,1.7,13,1.31,8.48,1.27,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.51,1.2,2.5,1.28,3.39,1.38,19.9,2.58,302.64,1.45,25.31,10.4,1.55,1.75,0.8,2.38,0.52,3.36,855.99,2.91,8.13,3.57,3.55,25.31,2.44
2.75,1.52,13,1.31,8.48,1.37,0.4,0.4,0.7,1.13,0.12,1.5,259.4,1.51,1.25,2.5,1.38,3.59,1.48,19.9,2.58,302.64,1.45,25.31,10.4,1.55,1.75,0.8,2.38,0.52,3.36,855.99,2.91,8.13,4.07,3.55,25.31,2.44
2.75,1.52,13,1.31,8.48,1.37,0.4,0.4,0.7,1.13,0.12,1.5,259.4,1.51,1.25,2.5,1.38,3.79,1.48,19.9,2.58,302.64,1.45,25.31,10.4,1.55,1.75,0.82,2.38,0.52,3.36,855.99,2.91,8.13,4.07,3.55,25.31,2.44
1.51,1.52,6.1,1.31,8.09,1.44,0.4,0.3,0.7,1.03,0.21,1.5,271.6,1.21,1.13,0.85,1.28,3.43,1.38,20.52,2.65,178.81,1.36,19.22,9.88,1.46,1.75,0.68,2.46,1.03,3.5,496.22,2.22,5.06,3.6,3.28,20.25,2.05
1.51,1.52,6.1,1.31,8.09,1.44,0.4,0.3,0.7,1.03,0.21,1.5,271.6,1.21,1.13,0.97,1.28,3.43,1.38,20.59,2.65,178.81,1.36,19.22,9.88,1.46,1.75,0.68,2.46,1.03,3.5,496.22,2.22,5.06,3.5,3.38,20.25,2.05
1.56,1.52,6.1,1.31,8.39,1.45,0.4,0.18,0.7,1.03,0.21,1.5,271.6,1.21,1.13,0.85,1.28,3.43,1.38,20.59,2.65,178.81,1.36,19.22,9.88,1.46,1.75,0.68,2.46,1.03,3.5,496.22,2.22,5.06,3.5,3.38,20.25,2.05
1.56,1.52,6.8,1.31,8.39,1.45,0.4,0.3,0.7,1.03,0.21,1.5,271.6,1.21,1.13,0.97,1.28,3.43,1.38,21.07,2.65,178.81,1.5,19.22,9.88,1.46,1.76,0.73,2.65,1.03,5.4,496.22,2.28,5.06,3.5,3.83,20.25,2.05
1.56,1.52,6.8,1.31,8.39,1.45,0.4,0.3,0.7,1.03,0.21,1.5,271.6,1.21,1.13,0.97,1.38,3.57,1.38,21.07,2.72,178.81,1.5,19.48,9.88,1.46,1.74,0.73,2.65,1.03,3.5,496.22,2.28,5.06,3.5,3.83,20.25,2.05
1.56,1.52,6.8,1.31,8.39,1.45,0.4,0.18,0.7,1.03,0.21,1.5,271.6,1.21,1.13,0.97,1.38,3.57,1.38,21.07,2.89,178.81,1.5,20.92,11.43,1.46,1.85,0.73,2.65,1.03,3.5,514.58,2.28,5.06,3.5,3.86,20.25,2.05
1.8,1.52,6.8,1.31,8.39,1.45,0.5,0.48,0.7,1.13,0.21,1.5,271.6,1.41,1.3,0.97,1.38,3.57,1.58,21.07,2.95,178.81,1.52,20.92,11.43,1.46,1.84,0.73,2.65,1.03,3.64,514.58,2.28,5.06,3.77,3.86,20.25,2.05
1.8,1.52,6.8,1.31,8.39,1.45,0.5,0.4,0.7,1.13,0.21,1.5,271.6,1.41,1.3,0.97,1.38,3.57,1.58,21.07,2.95,178.81,1.5,20.92,11.43,1.46,1.85,0.83,2.65,1.03,3.65,514.58,2.28,5.06,3.82,3.83,20.25,2.05
1.8,1.52,6.8,1.31,8.39,1.45,0.5,0.4,0.7,1.13,0.21,1.5,271.6,1.41,1.3,0.97,1.38,3.57,1.58,20.52,2.95,178.81,1.36,20.92,11.43,1.46,1.85,0.88,2.46,1.03,3.86,514.58,2.22,5.06,3.82,3.28,20.25,2.05
1.8,1.52,6.8,1.31,8.39,1.45,0.5,0.4,0.7,1.13,0.21,1.5,271.6,1.41,1.3,0.97,1.38,3.57,1.58,20.52,2.95,178.81,1.36,21.17,11.43,1.64,1.87,0.88,2.46,1.29,4.86,519.31,2.22,5.06,3.82,3.28,20.25,2.05
1.8,1.52,6.8,1.31,8.39,1.45,0.5,0.4,0.7,1.13,0.21,1.5,271.6,1.41,1.3,0.97,1.38,3.57,1.58,20.59,2.98,178.81,1.36,21.17,11.43,1.64,1.85,0.88,2.46,1.29,3.86,519.31,2.22,5.06,3.85,3.38,20.25,2.05
1.9,1.52,6.8,1.31,8.49,1.55,0.5,0.4,0.7,1.13,0.21,1.5,271.6,1.51,1.42,0.97,1.38,3.77,1.58,21.07,3.19,178.81,1.5,21.17,11.43,1.72,1.85,0.88,2.65,1.55,3.86,519.31,2.28,5.06,3.85,3.83,20.25,2.05
2.25,1.52,13,1.5,4.83,2,0.08,0.3,0.7,1.03,0.21,1.5,200,1.21,1.13,0.97,1.23,3.5,1.38,15.48,2.67,272.69,1.36,46.47,4.13,1.55,1.52,0.61,2.05,0.52,3.91,561.36,2.67,5.47,3.7,3.6,18.07,2.6
2.25,1.52,13,1.5,4.83,2,0.08,0.3,0.7,1.03,0.21,1.5,200,1.21,1.13,0.97,1.23,3.5,1.38,15.48,2.67,272.69,1.36,46.47,4.13,1.55,1.52,0.61,2.05,0.52,3.91,561.36,2.67,5.47,3.7,3.6,18.07,2.6
2.5,1.52,13,1.5,4.83,2,0.08,0.3,0.7,1.03,0.21,1.5,200,1.21,1.13,0.97,1.23,3.5,1.38,15.48,2.67,272.69,1.36,46.47,4.13,1.55,1.52,0.61,2.05,0.52,3.91,561.36,2.67,5.47,3.7,3.6,18.07,2.6
2.5,1.52,13,1.5,5.16,2,0.08,0.3,0.7,1.03,0.21,1.5,200,1.21,1.13,0.97,1.23,3.9,1.38,15.58,2.67,272.69,1.36,46.47,4.13,1.55,1.52,0.61,2.05,0.52,3.91,561.36,2.67,5.47,3.7,3.6,18.07,2.6
2.5,1.52,13,1.5,5.16,2,0.08,0.3,0.7,1.03,0.21,1.5,200,1.21,1.13,0.97,1.23,3.9,1.38,15.48,2.67,272.69,1.36,46.47,4.13,1.55,1.52,0.61,2.05,0.52,3.91,561.36,2.67,5.47,3.7,3.6,18.73,2.6
2.5,1.52,13,1.5,5.16,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.23,3.9,1.38,15.48,2.67,272.69,1.36,46.47,4.33,1.55,1.52,0.61,2.05,0.52,3.91,561.36,2.67,5.47,3.7,3.6,18.07,2.6
2.5,1.52,13,1.5,5.16,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.23,3.9,1.38,16.28,2.67,272.69,1.36,46.47,4.33,1.55,1.52,0.61,2.05,0.52,3.94,561.36,2.67,5.61,3.7,3.6,20.43,2.6
2.5,1.52,13,1.5,5.56,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.32,4.2,1.38,16.28,2.83,272.69,1.36,48.47,4.33,1.55,1.52,0.51,2.05,0.52,3.94,561.36,2.67,5.61,3.7,3.6,20.43,2.6
2.5,1.52,13,1.5,5.56,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.32,4.2,1.38,16.28,2.83,272.69,1.36,48.47,4.33,1.55,1.52,0.55,2.07,0.52,3.93,561.36,2.67,5.55,3.7,3.6,20.43,2.6
2.5,1.52,13,1.5,5.56,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.32,4.2,1.38,16.28,2.83,272.69,1.38,48.47,4.33,1.55,1.52,0.55,2.07,0.52,3.93,579.06,2.67,5.55,3.7,3.6,20.43,2.6
2.5,1.52,13,1.5,5.56,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.32,4.2,1.38,16.37,2.86,287.73,1.39,51.21,4.45,1.62,1.58,0.65,2.08,0.52,3.93,571.25,2.67,5.59,3.75,3.6,20.43,2.67
2.5,1.52,13,1.5,5.56,2,0.08,0.3,0.7,1.03,0.21,1.5,210,1.21,1.13,0.97,1.32,4.2,1.38,16.37,2.86,287.73,1.39,51.21,4.45,1.62,1.58,0.65,2.08,0.52,3.93,571.25,2.67,5.59,3.75,3.6,20.43,2.67
2.65,1.52,13.46,1.5,4.27,2.86,0.08,0.3,0.7,1.03,0.21,1.26,169.88,1.21,1.13,0.97,1.03,3.43,1.38,17.4,2.6,147.8,1.3,19.5,5.1,1.6,1.6,0.7,2.6,2.6,3.6,556.1,2.4,3.4,4.83,3.4,9.3,2.2
2.65,1.52,13.46,1.31,4.27,2.86,0.08,0.3,0.7,1.03,0.21,1.26,169.88,1.31,1.13,0.97,1.18,3.57,1.21,17.4,2.6,147.8,1.3,19.5,5.1,1.6,1.6,0.7,2.6,2.6,3.6,556.1,2.4,3.4,4.83,3.4,9.3,2.2
2.65,1.52,13.46,1.5,4.27,3.01,0.08,0.3,0.7,1.03,0.21,1.26,169.88,1.21,1.13,0.97,1.18,3.57,1.38,17.4,2.6,147.8,1.3,19.5,5.1,1.6,1.6,0.7,2.6,2.6,3.6,556.1,2.4,3.4,4.83,3.4,9.3,2.2
2.65,1.52,13.46,1.5,4.27,3.01,0.08,0.3,0.7,1.03,0.21,1.26,169.88,1.21,1.13,0.97,1.18,3.57,1.38,17.4,2.6,147.8,1.3,19.5,5.1,1.6,1.6,0.7,2.6,2.6,3.6,556.1,2.4,3.4,3.85,3.4,9.3,2.2
2.25,1.52,13.46,1.31,4.75,3.01,0.08,0.3,0.7,1.03,0.21,1.46,199.88,1.28,1.3,0.97,1.28,3.57,1.38,17.9,2.6,147.8,1.3,19.5,5.1,1.6,1.6,0.7,2.6,2.6,3.6,556.1,2.4,3.4,4.83,3.4,11.3,2.2
